"filename", "language", "JSON", "Markdown", "XML", "JavaScript", "JavaScript JSX", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\data\agents.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\data\leads.js", "JavaScript", 0, 0, 0, 202, 0, 0, 0, 0, 2, 204
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\hooks\useDelete.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\hooks\useDiscountCalculation.jsx", "JavaScript JSX", 0, 0, 0, 0, 70, 0, 0, 6, 24, 100
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\hooks\useDueCalculation.jsx", "JavaScript JSX", 0, 0, 0, 0, 22, 0, 0, 6, 14, 42
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\hooks\useFetch.jsx", "JavaScript JSX", 0, 0, 0, 0, 30, 0, 0, 1, 8, 39
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\hooks\useIsSmall.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\hooks\useLeadFilterAgent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\hooks\useSaveData.jsx", "JavaScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 10, 44
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\shared\AgentAllLeads.jsx", "JavaScript JSX", 0, 0, 0, 0, 361, 0, 0, 35, 123, 519
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\shared\Leaderboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 55, 0, 0, 5, 13, 73
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\shared\Modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 4, 40
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\shared\Pagination.jsx", "JavaScript JSX", 0, 0, 0, 0, 84, 0, 0, 0, 9, 93
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\shared\Payments.jsx", "JavaScript JSX", 0, 0, 0, 0, 328, 0, 0, 22, 49, 399
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\shared\SidebarFooter.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 17, 11, 45
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\shared\Table.jsx", "JavaScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 3, 40
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\utils\CourseInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 199, 0, 0, 12, 40, 251
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\utils\CustomSelect.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 0, 0, 9, 73
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\utils\DateRange.jsx", "JavaScript JSX", 0, 0, 0, 0, 87, 0, 0, 1, 16, 104
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\utils\date.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\utils\exportLeads.js", "JavaScript", 0, 0, 0, 77, 0, 0, 0, 5, 20, 102
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\utils\formateDiscount.js", "JavaScript", 0, 0, 0, 68, 0, 0, 0, 7, 11, 86
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\utils\formateFileName.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 1, 6, 23
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\utils\getDiscountBounds.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 16, 19, 71
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\utils\showToast.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 2, 3, 29
"c:\Users\Mustafiz Rahman\Desktop\eshikhon-lead\lead-frontend\src\utils\swal.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 4, 6, 48
"Total", "-", 2209, 23, 45, 685, 5961, 7, 247, 536, 1717, 11430
